Title,Budget,Domestic_Gross,Year,Crit_Rating,Aud_Rating,Runtime_Min,Genre,MPAA_Rating
THE PUNISHER,33000000,33664370,2004,29,63.0,123.0,"Action & Adventure, Drama",R
MAN ON FIRE,60000000,77906816,2004,39,89.0,146.0,"Action & Adventure, Drama, Mystery & Suspense",R
13 GOING ON 30,37000000,57139723,2004,65,70.0,98.0,"Comedy, Romance",PG-13
MEAN GIRLS,18000000,86047227,2004,84,66.0,96.0,Comedy,PG-13
LAWS OF ATTRACTION,32000000,17848322,2004,18,47.0,89.0,"Comedy, Romance",PG-13
GODSEND,30000000,14334645,2004,4,20.0,102.0,"Drama, Horror, Mystery & Suspense",PG-13
ENVY,20000000,13548322,2004,8,27.0,99.0,"Action & Adventure, Comedy",PG-13
VAN HELSING,170000000,120150546,2004,24,57.0,145.0,"Action & Adventure, Horror",PG-13
NEW YORK MINUTE,40000000,14018364,2004,11,47.0,91.0,"Action & Adventure, Comedy, Kids & Family",PG
SUPER SIZE ME,60000,11529368,2004,92,72.0,96.0,"Documentary, Special Interest",PG-13
TROY,150000000,133298577,2004,54,73.0,165.0,"Action & Adventure, Classics, Drama",R
BREAKIN ALL THE RULES,9000000,12232382,2004,31,57.0,86.0,"Comedy, Romance",PG-13
SHREK 2,70000000,441226247,2004,89,69.0,93.0,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",PG
THE DAY AFTER TOMORROW,125000000,186740799,2004,44,50.0,124.0,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13
RAISING HELEN,50000000,37485528,2004,25,61.0,119.0,Comedy,PG-13
SOUL PLANE,16000000,13922211,2004,18,51.0,86.0,Comedy,R
HARRY POTTER AND THE PRISONER OF AZKABAN,130000000,249757726,2004,90,86.0,142.0,"Kids & Family, Science Fiction & Fantasy",PG
GARFIELD: THE MOVIE,50000000,75367693,2004,15,37.0,85.0,"Action & Adventure, Comedy, Kids & Family",PG
THE STEPFORD WIVES,100000000,59475623,2004,26,30.0,93.0,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13
THE CHRONICLES OF RIDDICK,120000000,57712751,2004,29,65.0,120.0,"Action & Adventure, Horror, Science Fiction & Fantasy",PG-13
NAPOLEON DYNAMITE,400000,44540956,2004,71,74.0,86.0,Comedy,PG
AROUND THE WORLD IN 80 DAYS,109000000,24004159,2004,71,57.0,141.0,"Action & Adventure, Comedy, Drama, Kids & Family",G
AROUND THE WORLD IN 80 DAYS,109000000,24004159,2004,32,34.0,119.0,"Action & Adventure, Comedy, Kids & Family",PG
DODGEBALL: A TRUE UNDERDOG STORY,30000000,114326736,2004,70,76.0,98.0,Comedy,PG-13
THE TERMINAL,75000000,77073959,2004,61,74.0,128.0,"Comedy, Drama",PG-13
WHITE CHICKS,20000000,69148997,2004,15,55.0,106.0,Comedy,PG-13
THE NOTEBOOK,30000000,81001787,2004,67,67.0,112.0,"Art House & International, Drama",R
THE NOTEBOOK,30000000,81001787,2004,53,85.0,124.0,"Drama, Romance",PG-13
TWO BROTHERS,71682975,19176754,2004,78,75.0,104.0,"Action & Adventure, Drama, Kids & Family",PG
DE-LOVELY,15000000,13337299,2004,48,66.0,125.0,"Comedy, Drama, Musical & Performing Arts",PG-13
SPIDER-MAN 2,200000000,373524485,2004,93,82.0,127.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
KING ARTHUR,90000000,51877963,2004,31,59.0,126.0,"Action & Adventure, Drama",PG-13
ANCHORMAN: THE LEGEND OF RON BURGUNDY,25000000,84136909,2004,66,86.0,94.0,Comedy,PG-13
"I, ROBOT",105000000,144801023,2004,56,70.0,115.0,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",PG-13
A CINDERELLA STORY,19000000,51438175,2004,12,53.0,95.0,"Comedy, Drama, Kids & Family, Romance",PG
THE BOURNE SUPREMACY,85000000,176087450,2004,81,90.0,108.0,"Action & Adventure, Drama, Mystery & Suspense",PG-13
CATWOMAN,100000000,40202379,2004,9,18.0,101.0,"Action & Adventure, Drama",PG-13
GARDEN STATE,2500000,26782316,2004,86,88.0,102.0,"Comedy, Drama, Romance",R
THE VILLAGE,71500000,114197520,2004,44,57.0,109.0,"Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13
THE MANCHURIAN CANDIDATE,80000000,65948711,2004,96,90.0,127.0,"Classics, Drama, Mystery & Suspense",PG-13)
THE MANCHURIAN CANDIDATE,80000000,65948711,2004,80,63.0,130.0,"Action & Adventure, Drama, Mystery & Suspense",R
HAROLD & KUMAR GO TO WHITE CASTLE,9000000,18225165,2004,74,80.0,88.0,"Action & Adventure, Comedy",R
COLLATERAL,60000000,100170152,2004,86,84.0,122.0,"Action & Adventure, Drama, Mystery & Suspense",R
OPEN WATER,500000,30500882,2004,71,33.0,79.0,"Art House & International, Drama, Horror, Mystery & Suspense",R
LITTLE BLACK BOOK,30000000,20422207,2004,22,37.0,107.0,Comedy,PG-13
THE PRINCESS DIARIES 2: ROYAL ENGAGEMENT,45000000,95149435,2004,25,59.0,113.0,"Comedy, Kids & Family",G
AVP: ALIEN VS. PREDATOR,70000000,80281096,2004,21,39.0,87.0,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",PG-13
YU-GI-OH,20000000,19762690,2004,5,48.0,90.0,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",PG
WITHOUT A PADDLE,30000000,58156435,2004,14,68.0,95.0,Comedy,PG-13
EXORCIST: THE BEGINNING,77600000,41814863,2004,10,27.0,114.0,"Drama, Horror, Mystery & Suspense",R
ANACONDAS: THE HUNT FOR THE BLOOD ORCHID,25000000,31526393,2004,25,27.0,93.0,"Action & Adventure, Horror",PG-13
VANITY FAIR,23000000,16123851,2004,51,50.0,141.0,"Action & Adventure, Comedy, Drama, Romance",PG-13
PAPARAZZI,20000000,15712072,2004,17,38.0,84.0,"Action & Adventure, Mystery & Suspense",PG-13
WICKER PARK,30000000,13001257,2004,27,79.0,114.0,"Drama, Mystery & Suspense, Romance",PG-13
THE COOKOUT,16000000,11540112,2004,5,38.0,88.0,Comedy,PG-13
RESIDENT EVIL: APOCALYPSE,50000000,50740078,2004,20,60.0,94.0,Horror,R
CELLULAR,45000000,32003620,2004,55,59.0,94.0,"Action & Adventure, Mystery & Suspense",PG-13
KUNG FU HUSTLE,20000000,17104669,2004,90,89.0,95.0,"Action & Adventure, Art House & International, Comedy, Drama, Romance",R
SKY CAPTAIN AND THE WORLD OF TOMORROW,70000000,37760080,2004,71,46.0,107.0,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",PG
MR. 3000,30000000,21800302,2004,54,30.0,102.0,Comedy,PG-13
WIMBLEDON,35000000,16862585,2004,61,57.0,98.0,"Comedy, Drama, Romance",PG-13
THE FORGOTTEN,50000000,66711892,2004,32,36.0,91.0,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13
SHAUN OF THE DEAD,5000000,13542874,2004,92,93.0,97.0,"Action & Adventure, Comedy, Horror, Science Fiction & Fantasy, Special Interest",R
SHARK TALE,75000000,161412000,2004,36,49.0,90.0,"Action & Adventure, Animation, Comedy, Kids & Family",PG
LADDER 49,60000000,74541707,2004,41,81.0,114.0,"Action & Adventure, Drama",PG-13
I HEART HUCKABEES,22000000,12784713,2004,63,75.0,106.0,"Comedy, Drama",R
FRIDAY NIGHT LIGHTS,30000000,61255921,2004,81,85.0,117.0,"Action & Adventure, Drama",PG-13
RAISE YOUR VOICE,15000000,10411980,2004,15,71.0,108.0,"Drama, Musical & Performing Arts",PG
SHALL WE DANCE?,40000000,57887882,2004,89,85.0,109.0,"Classics, Comedy, Drama, Musical & Performing Arts, Romance",NR
SHALL WE DANCE?,40000000,57887882,2004,46,57.0,95.0,"Comedy, Drama, Romance",PG-13
TEAM AMERICA: WORLD POLICE,20000000,32774834,2004,77,80.0,97.0,"Comedy, Drama",R
THE INCREDIBLES,92000000,261441092,2004,97,75.0,115.0,"Animation, Comedy, Kids & Family",PG
THE GRUDGE,10000000,110359362,2004,39,46.0,91.0,"Drama, Horror, Mystery & Suspense",PG-13
SIDEWAYS,17000000,71502303,2004,97,78.0,127.0,"Comedy, Drama, Romance",R
RAY,40000000,75305995,2004,80,87.0,148.0,Drama,PG-13
SAW,1200000,55968727,2004,49,84.0,103.0,"Horror, Mystery & Suspense",R
ALFIE,40000000,13395939,2004,96,77.0,113.0,"Classics, Comedy, Drama, Romance",PG
ALFIE,40000000,13395939,2004,48,51.0,105.0,"Comedy, Drama, Romance",R
THE POLAR EXPRESS,170000000,187224605,2004,56,63.0,100.0,"Animation, Drama, Kids & Family",G
FINDING NEVERLAND,25000000,51676606,2004,82,87.0,101.0,Drama,PG
BRIDGET JONES: THE EDGE OF REASON,50000000,40203020,2004,27,60.0,107.0,"Comedy, Drama, Romance",R
AFTER THE SUNSET,57000000,28328132,2004,18,52.0,100.0,"Action & Adventure, Comedy, Drama",PG-13
SEED OF CHUCKY,29000000,17016190,2004,33,39.0,86.0,"Comedy, Horror",R
KINSEY,11000000,10214647,2004,90,75.0,118.0,Drama,R
NATIONAL TREASURE,100000000,173005002,2004,46,76.0,130.0,Action & Adventure,PG
SPONGEBOB SQUAREPANTS: THE MOVIE,30000000,85416609,2004,69,78.0,90.0,"Animation, Comedy, Kids & Family, Special Interest",PG
CHRISTMAS WITH THE KRANKS,50000000,73701902,2004,5,37.0,94.0,"Comedy, Kids & Family",PG
ALEXANDER,152000000,34297191,2004,16,35.0,176.0,"Action & Adventure, Classics, Drama",R
CLOSER,35000000,33987757,2004,68,81.0,103.0,Drama,R
HOUSE OF FLYING DAGGERS,12000000,11050094,2004,88,82.0,119.0,"Action & Adventure, Art House & International, Drama",PG-13
BLADE: TRINITY,65000000,52397389,2004,25,59.0,113.0,"Action & Adventure, Horror, Mystery & Suspense",R
THE PHANTOM OF THE OPERA,55000000,51225796,2004,38,53.0,93.0,Horror,R
THE PHANTOM OF THE OPERA,55000000,51225796,2004,33,84.0,143.0,"Drama, Horror, Musical & Performing Arts, Special Interest, Romance",PG-13
OCEANS TWELVE,110000000,125531634,2004,55,60.0,125.0,"Action & Adventure, Comedy, Drama",PG-13
THE LIFE AQUATIC WITH STEVE ZISSOU,50000000,24006726,2004,56,82.0,118.0,"Action & Adventure, Comedy, Drama",R
MILLION DOLLAR BABY,30000000,100492203,2004,91,90.0,133.0,"Drama, Romance",PG-13
LEMONY SNICKETS A SERIES OF UNFORTUNATE EVENTS,100000000,118627117,2004,72,63.0,107.0,"Action & Adventure, Comedy, Kids & Family",PG
THE AVIATOR,110000000,102608827,2004,86,79.0,170.0,Drama,PG-13
SPANGLISH,75000000,42044321,2004,53,60.0,130.0,"Comedy, Drama",PG-13
FLIGHT OF THE PHOENIX,75000000,21009180,2004,30,40.0,112.0,"Action & Adventure, Drama",PG-13
MEET THE FOCKERS,60000000,279167575,2004,39,58.0,118.0,Comedy,PG-13
HOTEL RWANDA,17500000,23519128,2004,91,94.0,121.0,Drama,PG-13
FAT ALBERT,45000000,48114556,2004,23,44.0,94.0,"Comedy, Kids & Family",PG
DARKNESS,10600000,22163442,2004,4,31.0,90.0,Horror,PG-13
IN GOOD COMPANY,26000000,45489752,2004,82,54.0,109.0,"Comedy, Drama",PG-13
WHITE NOISE,10000000,56094360,2005,7,31.0,98.0,"Drama, Horror, Mystery & Suspense",PG-13
COACH CARTER,45000000,67264877,2005,64,85.0,136.0,Drama,PG-13
RACING STRIPES,30000000,49772522,2005,35,42.0,101.0,"Comedy, Drama, Kids & Family",PG
ELEKTRA,65000000,24409722,2005,11,29.0,98.0,"Action & Adventure, Drama",PG-13
ASSAULT ON PRECINCT 13,30000000,20040895,2005,98,80.0,91.0,"Action & Adventure, Drama, Mystery & Suspense",R
ASSAULT ON PRECINCT 13,30000000,20040895,2005,59,48.0,108.0,"Action & Adventure, Drama, Mystery & Suspense",R
ARE WE THERE YET?,20000000,82674398,2005,12,45.0,95.0,"Action & Adventure, Comedy, Kids & Family, Romance",PG
HIDE AND SEEK,25000000,51100486,2005,13,50.0,101.0,Mystery & Suspense,R
BOOGEYMAN,20000000,46752382,2005,13,21.0,88.0,"Drama, Horror, Mystery & Suspense",R
THE WEDDING DATE,15000000,31726995,2005,11,67.0,89.0,"Comedy, Drama, Romance",PG-13
HITCH,55000000,177784257,2005,68,62.0,120.0,"Comedy, Romance",PG-13
POOHS HEFFALUMP MOVIE,20000000,18098433,2005,80,69.0,67.0,"Animation, Kids & Family",G
CONSTANTINE,75000000,75976178,2005,46,72.0,120.0,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",R
BECAUSE OF WINN-DIXIE,15000000,32647042,2005,55,63.0,107.0,"Comedy, Drama, Kids & Family, Sports & Fitness",PG
SON OF THE MASK,100000000,17018422,2005,6,16.0,95.0,"Comedy, Science Fiction & Fantasy",PG
DIARY OF A MAD BLACK WOMAN,5500000,50406346,2005,16,87.0,103.0,Comedy,PG-13
MAN OF THE HOUSE,50000000,19699706,2005,14,33.0,97.0,"Comedy, Kids & Family",PG
MAN OF THE HOUSE,50000000,19699706,2005,9,46.0,100.0,"Action & Adventure, Comedy",PG-13
CURSED,35000000,19294901,2005,17,30.0,97.0,Horror,R
THE PACIFIER,56000000,113006880,2005,20,59.0,95.0,"Action & Adventure, Comedy, Kids & Family",PG
BE COOL,75000000,55849401,2005,30,42.0,119.0,"Comedy, Drama, Mystery & Suspense",PG-13
ROBOTS,80000000,128200012,2005,64,53.0,89.0,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",PG
HOSTAGE,75000000,34636443,2005,35,62.0,73.0,"Drama, Mystery & Suspense",R
THE UPSIDE OF ANGER,12000000,18761993,2005,74,63.0,118.0,"Comedy, Drama, Romance",R
THE RING TWO,50000000,75941727,2005,20,33.0,110.0,"Drama, Horror",PG-13
ICE PRINCESS,25000000,24381334,2005,51,58.0,98.0,"Comedy, Drama, Kids & Family",G
MISS CONGENIALITY 2: ARMED AND FABULOUS,60000000,48478006,2005,15,43.0,115.0,Comedy,PG-13
GUESS WHO,35000000,68915888,2005,42,49.0,105.0,Comedy,PG-13
SIN CITY,40000000,74103820,2005,77,78.0,124.0,"Action & Adventure, Drama, Mystery & Suspense",R
SAHARA,144000000,68671925,2005,100,86.0,97.0,"Action & Adventure, Classics, Drama",NR
SAHARA,144000000,68671925,2005,38,53.0,124.0,"Action & Adventure, Drama",PG-13
FEVER PITCH,40000000,42071069,2005,65,60.0,98.0,"Comedy, Romance",PG-13
THE AMITYVILLE HORROR,18500000,65233369,2005,23,52.0,89.0,Horror,R
THE AMITYVILLE HORROR,18500000,65233369,2005,28,52.0,117.0,Horror,R
THE INTERPRETER,90000000,72708161,2005,57,54.0,129.0,"Action & Adventure, Drama, Mystery & Suspense",PG-13
A LOT LIKE LOVE,25000000,21835784,2005,41,77.0,107.0,"Comedy, Drama, Romance",PG-13
THE HITCHHIKERS GUIDE TO THE GALAXY,45000000,51019112,2005,60,65.0,109.0,"Comedy, Science Fiction & Fantasy",PG
XXX: STATE OF THE UNION,60000000,26873932,2005,17,32.0,101.0,Action & Adventure,R
CRASH,7300000,55334418,2005,74,88.0,113.0,Drama,R
KINGDOM OF HEAVEN,110000000,47398413,2005,39,72.0,145.0,"Action & Adventure, Classics, Drama",R
HOUSE OF WAX,35000000,32064800,2005,95,72.0,88.0,"Drama, Horror, Mystery & Suspense",PG
HOUSE OF WAX,35000000,32064800,2005,26,42.0,113.0,"Horror, Mystery & Suspense",R
MONSTER-IN-LAW,45000000,82931301,2005,17,55.0,102.0,"Comedy, Romance",PG-13
KICKING AND SCREAMING,45000000,52842724,2005,55,76.0,96.0,"Art House & International, Comedy, Drama",R
STAR WARS EP. III: REVENGE OF THE SITH,115000000,380270577,2005,80,66.0,140.0,"Action & Adventure, Drama, Science Fiction & Fantasy",PG-13
MADAGASCAR,75000000,193595521,2005,54,73.0,86.0,"Animation, Comedy, Kids & Family",PG
THE LONGEST YARD,82000000,158119460,2005,81,75.0,125.0,"Action & Adventure, Classics, Comedy, Drama",R
THE LONGEST YARD,82000000,158119460,2005,31,62.0,113.0,"Comedy, Drama",PG-13
THE SISTERHOOD OF THE TRAVELING PANTS,25000000,39053061,2005,77,78.0,119.0,"Comedy, Drama",PG
CINDERELLA MAN,88000000,61649911,2005,80,91.0,144.0,"Action & Adventure, Drama",PG-13
THE LORDS OF DOGTOWN,25000000,11273517,2005,55,81.0,107.0,"Action & Adventure, Drama",PG-13
MR. AND MRS. SMITH,110000000,186336279,2005,67,49.0,95.0,"Classics, Comedy, Romance",NR
MR. AND MRS. SMITH,110000000,186336279,2005,59,58.0,92.0,"Action & Adventure, Comedy, Mystery & Suspense",PG-13
THE ADVENTURES OF SHARKBOY AND LAVAGIRL IN 3-D,50000000,39177684,2005,19,32.0,92.0,"Action & Adventure, Kids & Family",PG
THE HONEYMOONERS,27000000,12834849,2005,13,30.0,89.0,"Comedy, Drama, Television",PG
BATMAN BEGINS,150000000,205343774,2005,84,94.0,140.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
THE PERFECT MAN,10000000,16535005,2005,6,58.0,100.0,"Comedy, Romance",PG
HERBIE: FULLY LOADED,50000000,66010682,2005,41,39.0,100.0,"Comedy, Kids & Family",G
BEWITCHED,80000000,63313159,2005,24,28.0,102.0,"Comedy, Science Fiction & Fantasy",PG-13
GEORGE A. ROMEROS LAND OF THE DEAD,18900000,20700082,2005,74,51.0,92.0,"Action & Adventure, Drama, Horror, Mystery & Suspense",R
WAR OF THE WORLDS,132000000,234280354,2005,75,42.0,117.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
REBOUND,45000000,16809014,2005,14,38.0,87.0,Comedy,PG
FANTASTIC FOUR,87000000,154696080,2005,27,45.0,123.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
FANTASTIC FOUR,87000000,154696080,2005,9,18.0,100.0,Action & Adventure,PG-13
DARK WATER,60000000,25473093,2005,80,66.0,100.0,"Art House & International, Horror, Mystery & Suspense",PG-13
DARK WATER,60000000,25473093,2005,47,28.0,105.0,"Horror, Mystery & Suspense",PG-13
WEDDING CRASHERS,40000000,209218368,2005,75,70.0,120.0,"Comedy, Romance",R
CHARLIE AND THE CHOCOLATE FACTORY,150000000,206459076,2005,83,51.0,130.0,"Comedy, Kids & Family, Science Fiction & Fantasy",PG
THE ISLAND,120000000,35818913,2005,40,51.0,111.0,"Drama, Horror, Mystery & Suspense",R
THE BAD NEWS BEARS,35000000,32868349,2005,97,80.0,102.0,"Classics, Comedy",PG
HUSTLE & FLOW,2800000,22202809,2005,82,83.0,116.0,Drama,R
THE DEVILS REJECTS,7000000,17044981,2005,54,78.0,109.0,Horror,R
SKY HIGH,35000000,63939454,2005,73,57.0,100.0,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",PG
MUST LOVE DOGS,35000000,43894863,2005,36,50.0,98.0,"Comedy, Drama, Romance",PG-13
STEALTH,137500000,32116746,2005,12,40.0,121.0,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",PG-13
THE DUKES OF HAZZARD,53000000,80270227,2005,14,,104.0,"Action & Adventure, Comedy",PG-13
BROKEN FLOWERS,10000000,13744960,2005,87,70.0,106.0,"Comedy, Drama, Mystery & Suspense",R
FOUR BROTHERS,30000000,74494381,2005,52,80.0,108.0,"Action & Adventure, Drama",R
THE SKELETON KEY,40000000,47907715,2005,37,58.0,104.0,"Drama, Horror, Mystery & Suspense, Romance",PG-13
DEUCE BIGALOW: EUROPEAN GIGOLO,22000000,22400154,2005,9,33.0,83.0,Comedy,R
THE GREAT RAID,60000000,10166502,2005,37,70.0,142.0,"Action & Adventure, Drama",R
THE 40 YEAR-OLD VIRGIN,26000000,109449237,2005,85,77.0,132.0,Comedy,R
RED EYE,26000000,57891803,2005,79,64.0,85.0,"Action & Adventure, Mystery & Suspense",PG-13
VALIANT,35000000,19478106,2005,32,29.0,76.0,"Animation, Comedy, Kids & Family",G
THE BROTHERS GRIMM,80000000,37899638,2005,38,39.0,118.0,"Action & Adventure, Comedy, Science Fiction & Fantasy",PG-13
THE CAVE,30000000,15007991,2005,12,28.0,97.0,"Action & Adventure, Horror, Science Fiction & Fantasy",PG-13
THE CONSTANT GARDENER,25100000,33579798,2005,83,82.0,128.0,"Drama, Mystery & Suspense",R
THE TRANSPORTER 2,32000000,43095856,2005,52,58.0,88.0,Action & Adventure,PG-13
THE EXORCISM OF EMILY ROSE,18000000,75072454,2005,44,60.0,114.0,"Drama, Horror, Mystery & Suspense",PG-13
JUST LIKE HEAVEN,58000000,48318130,2005,55,75.0,95.0,"Comedy, Drama, Romance",PG-13
LORD OF WAR,42000000,24149632,2005,62,85.0,122.0,"Action & Adventure, Drama, Mystery & Suspense",R
CRY WOLF,1000000,10047674,2005,24,51.0,91.0,"Horror, Mystery & Suspense",PG-13
FLIGHTPLAN,55000000,89706988,2005,37,48.0,98.0,"Action & Adventure, Drama, Mystery & Suspense",PG-13
CORPSE BRIDE,30000000,53359111,2005,84,77.0,74.0,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",PG
A HISTORY OF VIOLENCE,32000000,31493782,2005,87,76.0,96.0,"Action & Adventure, Drama, Mystery & Suspense",R
ROLL BOUNCE,10000000,17380866,2005,65,70.0,118.0,"Comedy, Drama",PG-13
CAPOTE,7000000,28750530,2005,90,81.0,115.0,Drama,R
SERENITY,39000000,25514517,2005,83,91.0,119.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
SERENITY,39000000,25514517,2005,20,30.0,106.0,"Drama, Mystery & Suspense",R
INTO THE BLUE,50000000,18782227,2005,21,57.0,110.0,"Action & Adventure, Mystery & Suspense",PG-13
THE GREATEST GAME EVER PLAYED,25000000,15331289,2005,63,82.0,115.0,Drama,PG
WALLACE & GROMIT: THE CURSE OF THE WERE-RABBIT,30000000,56068547,2005,95,79.0,94.0,"Action & Adventure, Animation, Comedy, Kids & Family",G
"GOOD NIGHT, AND GOOD LUCK",7000000,31501218,2005,93,83.0,90.0,Drama,PG
2 FOR THE MONEY,20000000,22991379,2005,22,48.0,124.0,"Comedy, Drama, Mystery & Suspense",R
WAITING...,1125000,16124543,2005,31,75.0,94.0,Comedy,R
THE FOG,18000000,29511112,2005,4,19.0,100.0,"Horror, Mystery & Suspense",PG-13
THE FOG,18000000,29511112,2005,76,64.0,91.0,Horror,R
ELIZABETHTOWN,54000000,26850426,2005,29,66.0,123.0,"Comedy, Drama, Romance",PG-13
DOMINO,50000000,10169202,2005,18,56.0,128.0,"Action & Adventure, Drama, Mystery & Suspense",R
DOMINO,50000000,10169202,2005,33,22.0,88.0,"Action & Adventure, Mystery & Suspense",R
DREAMER: INSPIRED BY A TRUE STORY,32000000,33022286,2005,64,78.0,98.0,"Drama, Kids & Family",PG
DOOM,70000000,28212337,2005,19,34.0,104.0,"Action & Adventure, Horror, Science Fiction & Fantasy",R
NORTH COUNTRY,30000000,18324242,2005,69,76.0,127.0,Drama,R
SHOPGIRL,7500000,10284523,2005,60,58.0,116.0,"Comedy, Drama, Romance",R
SAW II,5000000,87025093,2005,37,59.0,92.0,"Horror, Mystery & Suspense",R
THE LEGEND OF ZORRO,80000000,45575336,2005,26,48.0,129.0,"Action & Adventure, Drama",PG
THE WEATHER MAN,20000000,12482775,2005,59,56.0,101.0,"Comedy, Drama",R
CHICKEN LITTLE,150000000,135386665,2005,37,47.0,82.0,"Action & Adventure, Animation, Comedy, Kids & Family",G
JARHEAD,72000000,62647540,2005,61,68.0,122.0,Drama,R
GET RICH OR DIE TRYIN,40000000,30981850,2005,16,70.0,116.0,Drama,R
DERAILED,22000000,36020063,2005,0,20.0,89.0,Action & Adventure,R
DERAILED,22000000,36020063,2005,21,58.0,107.0,"Drama, Mystery & Suspense",R
ZATHURA,65000000,28045540,2005,75,51.0,113.0,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",PG
HARRY POTTER AND THE GOBLET OF FIRE,150000000,290201752,2005,88,74.0,157.0,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",PG-13
WALK THE LINE,29000000,119519402,2005,83,90.0,94.0,Drama,PG-13
"YOURS, MINE AND OURS",45000000,53359917,2005,50,80.0,114.0,"Classics, Comedy, Kids & Family",NR
SYRIANA,50000000,50824620,2005,73,67.0,128.0,"Drama, Mystery & Suspense",R
RENT,40000000,29077547,2005,46,83.0,135.0,"Comedy, Musical & Performing Arts, Romance",PG-13
AEON FLUX,55000000,25857987,2005,9,39.0,92.0,"Action & Adventure, Science Fiction & Fantasy",PG-13
BROKEBACK MOUNTAIN,13700000,83043761,2005,87,82.0,134.0,"Drama, Romance",R
MEMOIRS OF A GEISHA,85000000,57010853,2005,35,83.0,105.0,"Drama, Romance",PG-13
MRS. HENDERSON PRESENTS,20000000,11036366,2005,68,72.0,103.0,"Comedy, Drama",R
KING KONG,205000000,218080025,2005,98,86.0,103.0,"Action & Adventure, Classics, Horror",G
KING KONG,205000000,218080025,2005,53,31.0,134.0,"Action & Adventure, Horror, Science Fiction & Fantasy",PG
KING KONG,205000000,218080025,2005,84,50.0,187.0,Action & Adventure,PG-13
THE FAMILY STONE,18000000,60062868,2005,52,63.0,103.0,"Comedy, Drama",PG-13
FUN WITH DICK AND JANE,140000000,110550000,2005,58,51.0,96.0,Comedy,PG
FUN WITH DICK AND JANE,140000000,110550000,2005,28,49.0,90.0,Comedy,PG-13
CHEAPER BY THE DOZEN 2,60000000,82571173,2005,6,57.0,93.0,"Comedy, Kids & Family",PG
MUNICH,75000000,47379090,2005,78,83.0,163.0,"Drama, Mystery & Suspense",R
RUMOR HAS IT,70000000,42996140,2005,20,41.0,97.0,Comedy,PG-13
WOLF CREEK,1100000,16186348,2005,53,49.0,98.0,"Action & Adventure, Horror, Mystery & Suspense",R
THE NEW WORLD,30000000,12712093,2005,63,58.0,150.0,"Action & Adventure, Drama, Romance",PG-13
MATCH POINT,15000000,23089926,2005,76,81.0,124.0,"Drama, Mystery & Suspense",R
THE MATADOR,10000000,12589255,2005,75,65.0,97.0,"Action & Adventure, Comedy, Drama, Mystery & Suspense",R
THE MATADOR,10000000,12589255,2005,73,65.0,74.0,"Documentary, Special Interest",NR
HOSTEL,4800000,47326473,2006,61,53.0,94.0,Horror,R
HOODWINKED,17500000,51386611,2006,47,56.0,80.0,"Animation, Comedy, Kids & Family",PG
GLORY ROAD,30000000,42647449,2006,56,81.0,117.0,"Drama, Sports & Fitness",PG
LAST HOLIDAY,45000000,38399961,2006,100,78.0,89.0,"Classics, Comedy, Drama",NR
LAST HOLIDAY,45000000,38399961,2006,56,67.0,111.0,"Action & Adventure, Comedy, Drama",PG-13
UNDERWORLD: EVOLUTION,45000000,62318875,2006,17,72.0,100.0,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",R
END OF THE SPEAR,10000000,11748661,2006,40,82.0,112.0,"Action & Adventure, Drama",PG-13
BIG MOMMAS HOUSE 2,40000000,70165972,2006,6,58.0,97.0,Comedy,PG-13
NANNY MCPHEE,25000000,47279279,2006,73,64.0,99.0,"Comedy, Kids & Family",PG
WHEN A STRANGER CALLS,15000000,47860214,2006,38,49.0,97.0,"Horror, Mystery & Suspense",R
WHEN A STRANGER CALLS,15000000,47860214,2006,9,44.0,87.0,"Horror, Mystery & Suspense",PG-13
THE PINK PANTHER,80000000,82226474,2006,90,78.0,113.0,"Comedy, Mystery & Suspense, Romance",NR
THE PINK PANTHER,80000000,82226474,2006,21,51.0,93.0,"Action & Adventure, Comedy, Drama",PG
CURIOUS GEORGE,50000000,58640119,2006,70,69.0,88.0,"Animation, Comedy, Kids & Family",G
